playId,pffPlayId,playType,playTypePrecise,gameId,eliasGameId,sdrEventId,espnScheduleId,espnEventId,pffGameId,sisGameId,gsisGameKey,uniqPlayId,ngsPlaylistKey,teamId,league,teamImageId,teamFullName,team,teamAbbrevName,teamNickName,inFBS,inFCS,activeFBSTeam,activeFCSTeam,teamColor,gameConference,gamepassAwayTeam,gamepassHomeTeam,gamepassDate,seasonYear,gamepassSeasonType,gamepassWeek,wallClock,poss,possAbbrevName,possTeamId,possTeamImageId,side,possession,week,date,gameDate,home,away,team,teamAbbrevName,opponent,opponentAbbrevName,opponentImageId,opponentId,teamPriorScore,opponentPriorScore,teamAfterScore,opponentAfterScore,downStart,distToFirstStart,goalDistStart,pos,startWp,wpa,startEp,epa,yards,driveNumber,driveStartQuarter,driveStartDistance,driveStartingClock,drivePlays,driveYards,driveTimeOfPossession,driveHowEnded,quarter,gameClock,teamFinalScore,opponentFinalScore,opponentCurrentScore,teamCurrentScore,driveTeamOnOffense,description,game,Game Date,week,qtr,los,down,dist,yds,abbrevName,opponentAbbrevName,poss,ngsPlaySummaryData,tmnDataPublicManualHasPublicHighlight,Date,GameId,PlayId,Qtr,SecsLeftInQ,Team,Opponent,TeamCurrentScore,OppCurrentScore,Down,Dist,LOS,PlayType,DriveNumber,PlayNum,Yds,Sack,Interception,FumbleLost,Incomplete,2PtChoice,2PtResult,FGDist,DriveResult,DesignedQBRun,DefensiveTD,Aborted,Onside,TOleft,OppTOLeft,PlayDesc,TmSpread,OddsTotal,PFFPlayID,reportId
292,6898737,PASS,Pass,29563,,,,,29563,,409083,29563-292,"409083, 292",100000118,NCAA,TXBA,Baylor Bears,Baylor Bears,BAY,Bears,true,,,,#003015,Big 12,Houston,Baylor,11292025,2025,REG,14,,HOU,HOU,100000182,TXHO,DEF,false,W14,2025-11-29,2025-11-29 12:00:00,true,false,BAY,BAY,HOU,HOU,TXHO,100000182,0,0,0,7,1,10,53,53,,,-2.5739167647511576,0.8322558405552463,0,2,1,82,785,12,82,318,Touchdown,1,663,24,31,0,0,false,(11:03) (HOU 01) Conner Weigman pass incomplete to (HOU 00) Amare Thomas,HOU 31 @ BAY 24,2025-11-29 12:00:00,W14,1,53,1,10,0,BAY,HOU,HOU,false,false,2025-11-29,29563,292,1,663,Baylor,Houston,0,0,1,10,53,PASS,2,5,0,0,0,0,1,0,,0,Touchdown,0,0,0,0,3,3,(11:03) (HOU 01) Conner Weigman pass incomplete to (HOU 00) Amare Thomas,-2,57,6898737,326-undefined
318,6898753,RUSH,Rush,29563,,,,,29563,,409083,29563-318,"409083, 318",100000118,NCAA,TXBA,Baylor Bears,Baylor Bears,BAY,Bears,true,,,,#003015,Big 12,Houston,Baylor,11292025,2025,REG,14,,HOU,HOU,100000182,TXHO,DEF,false,W14,2025-11-29,2025-11-29 12:00:00,true,false,BAY,BAY,HOU,HOU,TXHO,100000182,0,0,0,7,2,10,53,53,,,-1.7525199610409206,0.6543820455467788,3,2,1,82,785,12,82,318,Touchdown,1,656,24,31,0,0,false,(10:56) (HOU 01) Conner Weigman rushes for 3 yards. Tackle by (BAY D91) Adonis Friloux.,HOU 31 @ BAY 24,2025-11-29 12:00:00,W14,1,53,2,10,3,BAY,HOU,HOU,false,false,2025-11-29,29563,318,1,656,Baylor,Houston,0,0,2,10,53,RUSH,2,6,3,0,0,0,0,0,,0,Touchdown,1,0,0,0,3,3,(10:56) (HOU 01) Conner Weigman rushes for 3 yards. Tackle by (BAY D91) Adonis Friloux.,-2,57,6898753,326-undefined
344,6898765,PASS,Pass,29563,,,,,29563,,409083,29563-344,"409083, 344",100000118,NCAA,TXBA,Baylor Bears,Baylor Bears,BAY,Bears,true,,,,#003015,Big 12,Houston,Baylor,11292025,2025,REG,14,,HOU,HOU,100000182,TXHO,DEF,false,W14,2025-11-29,2025-11-29 12:00:00,true,false,BAY,BAY,HOU,HOU,TXHO,100000182,0,0,0,7,3,7,50,50,,,-1.1066761057921686,-2.343063467474778,10,2,1,82,785,12,82,318,Touchdown,1,623,24,31,0,0,false,(10:23) (HOU 01) Conner Weigman pass complete to (HOU 00) Amare Thomas for 10 yards. Tackle by (BAY D11) Keaton Thomas.,HOU 31 @ BAY 24,2025-11-29 12:00:00,W14,1,50,3,7,10,BAY,HOU,HOU,false,false,2025-11-29,29563,344,1,623,Baylor,Houston,0,0,3,7,50,PASS,2,7,10,0,0,0,0,0,,0,Touchdown,0,0,0,0,3,3,(10:23) (HOU 01) Conner Weigman pass complete to (HOU 00) Amare Thomas for 10 yards. Tackle by (BAY D11) Keaton Thomas.,-2,57,6898765,326-undefined
372,6898782,RUSH,Rush,29563,,,,,29563,,409083,29563-372,"409083, 372",100000118,NCAA,TXBA,Baylor Bears,Baylor Bears,BAY,Bears,true,,,,#003015,Big 12,Houston,Baylor,11292025,2025,REG,14,,HOU,HOU,100000182,TXHO,DEF,false,W14,2025-11-29,2025-11-29 12:00:00,true,false,BAY,BAY,HOU,HOU,TXHO,100000182,0,0,0,7,1,10,40,40,,,-3.4811303530228446,0.35893943269663514,3,2,1,82,785,12,82,318,Touchdown,1,592,24,31,0,0,false,(9:52) (HOU 44) Dean Connors rushes for 3 yards. Tackle by (BAY D11) Keaton Thomas. Assist by (BAY D59) Devonte Tezino.,HOU 31 @ BAY 24,2025-11-29 12:00:00,W14,1,40,1,10,3,BAY,HOU,HOU,false,false,2025-11-29,29563,372,1,592,Baylor,Houston,0,0,1,10,40,RUSH,2,8,3,0,0,0,0,0,,0,Touchdown,0,0,0,0,3,3,(9:52) (HOU 44) Dean Connors rushes for 3 yards. Tackle by (BAY D11) Keaton Thomas. Assist by (BAY D59) Devonte Tezino.,-2,57,6898782,326-undefined
398,6898790,PASS,Pass,29563,,,,,29563,,409083,29563-398,"409083, 398",100000118,NCAA,TXBA,Baylor Bears,Baylor Bears,BAY,Bears,true,,,,#003015,Big 12,Houston,Baylor,11292025,2025,REG,14,,HOU,HOU,100000182,TXHO,DEF,false,W14,2025-11-29,2025-11-29 12:00:00,true,false,BAY,BAY,HOU,HOU,TXHO,100000182,0,0,0,7,2,7,37,37,,,-3.126874259673133,1.0671254635750187,0,2,1,82,785,12,82,318,Touchdown,1,555,24,31,0,0,false,(9:15) (HOU 01) Conner Weigman pass incomplete to (HOU 09) Tanner Koziol,HOU 31 @ BAY 24,2025-11-29 12:00:00,W14,1,37,2,7,0,BAY,HOU,HOU,false,false,2025-11-29,29563,398,1,555,Baylor,Houston,0,0,2,7,37,PASS,2,9,0,0,0,0,1,0,,0,Touchdown,0,0,0,0,3,3,(9:15) (HOU 01) Conner Weigman pass incomplete to (HOU 09) Tanner Koziol,-2,57,6898790,326-undefined
424,6898826,RUSH,Rush,29563,,,,,29563,,409083,29563-424,"409083, 424",100000118,NCAA,TXBA,Baylor Bears,Baylor Bears,BAY,Bears,true,,,,#003015,Big 12,Houston,Baylor,11292025,2025,REG,14,,HOU,HOU,100000182,TXHO,DEF,false,W14,2025-11-29,2025-11-29 12:00:00,true,false,BAY,BAY,HOU,HOU,TXHO,100000182,0,0,0,7,3,7,37,37,,,-2.073672344798569,1.4205060241602154,3,2,1,82,785,12,82,318,Touchdown,1,551,24,31,0,0,false,(9:11) (HOU 44) Dean Connors rushes for 3 yards. Tackle by (BAY D00) Jackie Marshall. Assist by (BAY D09) Cooper Lanz.,HOU 31 @ BAY 24,2025-11-29 12:00:00,W14,1,37,3,7,3,BAY,HOU,HOU,false,false,2025-11-29,29563,424,1,551,Baylor,Houston,0,0,3,7,37,RUSH,2,10,3,0,0,0,0,0,,0,Touchdown,0,0,0,0,3,3,(9:11) (HOU 44) Dean Connors rushes for 3 yards. Tackle by (BAY D00) Jackie Marshall. Assist by (BAY D09) Cooper Lanz.,-2,57,6898826,326-undefined
450,6898846,PASS,Pass,29563,,,,,29563,,409083,29563-450,"409083, 450",100000118,NCAA,TXBA,Baylor Bears,Baylor Bears,BAY,Bears,true,,,,#003015,Big 12,Houston,Baylor,11292025,2025,REG,14,,HOU,HOU,100000182,TXHO,DEF,false,W14,2025-11-29,2025-11-29 12:00:00,true,false,BAY,BAY,HOU,HOU,TXHO,100000182,0,0,0,7,4,4,34,34,,,-0.6717006781078335,-3.665524397807961,7,2,1,82,785,12,82,318,Touchdown,1,511,24,31,0,0,false,(8:31) (HOU 01) Conner Weigman pass complete to (HOU 09) Tanner Koziol for 7 yards. Tackle by (BAY D24) Micah Gifford.,HOU 31 @ BAY 24,2025-11-29 12:00:00,W14,1,34,4,4,7,BAY,HOU,HOU,false,false,2025-11-29,29563,450,1,511,Baylor,Houston,0,0,4,4,34,PASS,2,11,7,0,0,0,0,0,,0,Touchdown,0,0,0,0,3,3,(8:31) (HOU 01) Conner Weigman pass complete to (HOU 09) Tanner Koziol for 7 yards. Tackle by (BAY D24) Micah Gifford.,-2,57,6898846,326-undefined
478,6898854,PASS,Pass,29563,,,,,29563,,409083,29563-478,"409083, 478",100000118,NCAA,TXBA,Baylor Bears,Baylor Bears,BAY,Bears,true,,,,#003015,Big 12,Houston,Baylor,11292025,2025,REG,14,,HOU,HOU,100000182,TXHO,DEF,false,W14,2025-11-29,2025-11-29 12:00:00,true,false,BAY,BAY,HOU,HOU,TXHO,100000182,0,0,0,7,1,10,27,27,,,-4.386333292854309,-2.5396422971730317,27,2,1,82,785,12,82,318,Touchdown,1,476,24,31,0,0,false,Touchdown Houston - (7:56) (HOU 01) Conner Weigman pass complete to (HOU 00) Amare Thomas for 27 yards.,HOU 31 @ BAY 24,2025-11-29 12:00:00,W14,1,27,1,10,27,BAY,HOU,HOU,false,false,2025-11-29,29563,478,1,476,Baylor,Houston,0,0,1,10,27,PASS,2,12,27,0,0,0,0,0,,0,Touchdown,0,0,0,0,3,3,Touchdown Houston - (7:56) (HOU 01) Conner Weigman pass complete to (HOU 00) Amare Thomas for 27 yards.,-2,57,6898854,326-undefined
502,6898869,XPA,XPA,29563,,,,,29563,,409083,29563-502,"409083, 502",100000118,NCAA,TXBA,Baylor Bears,Baylor Bears,BAY,Bears,true,,,,#003015,Big 12,Houston,Baylor,11292025,2025,REG,14,,HOU,HOU,100000182,TXHO,DEF,false,W14,2025-11-29,2025-11-29 12:00:00,true,false,BAY,BAY,HOU,HOU,TXHO,100000182,0,0,0,7,,,3,3,,,-0.96,-0.040000000000000036,,2,1,82,785,12,82,318,Touchdown,1,467,24,31,6,0,false,(HOU S92) Ethan Sanchez extra point is good.,HOU 31 @ BAY 24,2025-11-29 12:00:00,W14,1,3,0,-,0,BAY,HOU,HOU,false,false,2025-11-29,29563,502,1,467,Baylor,Houston,0,6,0,-,3,XPA,2,0,0,0,0,0,0,1,MADE,0,Touchdown,0,0,0,0,3,3,(HOU S92) Ethan Sanchez extra point is good.,-2,57,6898869,326-undefined
522,6898958,KICKOFF,Kickoff,29563,,,,,29563,,409083,29563-522,"409083, 522",100000118,NCAA,TXBA,Baylor Bears,Baylor Bears,BAY,Bears,true,,,,#003015,Big 12,Houston,Baylor,11292025,2025,REG,14,,BAY,BAY,100000118,TXBA,OFF,false,W14,2025-11-29,2025-11-29 12:00:00,true,false,BAY,BAY,HOU,HOU,TXHO,100000182,0,7,0,7,,,65,65,,,0.8247270307166773,0.21160081193702024,,3,1,75,467,8,68,177,Interception,1,467,24,31,7,0,true,75 Yard Kickoff by (HOU S96) Zac Yoakam. Touchback.,HOU 31 @ BAY 24,2025-11-29 12:00:00,W14,1,65,0,-,0,BAY,HOU,BAY,false,false,2025-11-29,29563,522,1,467,Baylor,Houston,0,7,0,-,65,KICKOFF,3,0,0,0,0,0,0,0,,0,Interception,0,0,0,0,3,3,75 Yard Kickoff by (HOU S96) Zac Yoakam. Touchback.,-2,57,6898958,326-undefined
